timestamp,node_id,crop,Temperature,Humidity,Moisture,Nitrogen,Phosphorus,Potassium,PH,Light_Intensity
2026-09-23T22:53:58,SIM-HEALTHY,Wheat,22.42,78.04,48.3,47.94,41.69,40.13,6.13,370.0
2026-09-23T22:53:58,SIM-STRESS,Wheat,23.29,79.28,48.65,46.91,41.24,38.89,4.9,353.6
2026-09-23T22:56:39,SIM-HEALTHY,Wheat,22.42,78.04,48.3,47.94,41.69,40.13,6.13,370.0
2026-09-23T22:56:39,SIM-STRESS,Wheat,23.29,79.28,48.65,46.91,41.24,38.89,4.9,353.6
2026-09-23T22:56:55,FARM-01,Wheat,21.8,76.43,48.47,47.93,41.78,37.9,6.65,372.2
2026-09-23T22:56:59,FARM-01,Wheat,21.82,74.77,45.98,43.97,41.31,37.43,6.67,363.6
2026-09-23T22:57:55,SIM-HEALTHY,Wheat,22.42,78.04,48.3,47.94,41.69,40.13,6.13,370.0
2026-09-23T22:57:55,SIM-STRESS,Wheat,23.29,79.28,48.65,46.91,41.24,38.89,4.9,353.6
2026-09-23T22:58:11,FARM-CHECK,Wheat,21.8,76.43,48.47,47.93,41.78,37.9,6.65,372.2
2026-09-23T22:58:23,FARM-CHECK,Wheat,21.8,76.43,48.47,47.93,41.78,37.9,6.65,372.2
2026-09-23T22:58:33,FARM-CODE,Wheat,21.8,76.43,48.47,47.93,41.78,37.9,6.65,372.2
2026-09-23T22:59:09,SIM-HEALTHY,Wheat,22.42,78.04,48.3,47.94,41.69,40.13,6.13,370.0
2026-09-23T22:59:09,SIM-STRESS,Wheat,23.29,79.28,48.65,46.91,41.24,38.89,4.9,353.6
2026-09-23T23:04:41,FARM-01,Wheat,21.8,76.43,48.47,47.93,41.78,37.9,6.65,372.2
2026-09-23T23:04:47,FARM-01,Wheat,21.82,74.77,45.98,43.97,41.31,37.43,6.67,363.6
2026-09-23T23:04:52,FARM-01,Wheat,20.99,76.54,47.71,47.49,39.49,38.54,6.57,348.1
2026-09-23T23:04:56,SIM-01,Wheat,21.8,76.43,48.47,47.93,41.78,37.9,6.65,372.2
2026-09-23T23:05:02,SIM-HEALTHY,Wheat,22.42,78.04,48.3,47.94,41.69,40.13,6.13,370.0
2026-09-23T23:05:02,SIM-STRESS,Wheat,23.29,79.28,48.65,46.91,41.24,38.89,4.9,353.6
2026-09-23T23:15:48,SIM-01,Wheat,21.8,76.43,48.47,47.93,41.78,37.9,6.65,372.2
2026-09-23T23:17:57,SIM-01,Wheat,21.8,76.43,48.47,47.93,41.78,37.9,6.65,372.2
2026-09-23T23:18:17,SIM-01,Wheat,21.8,76.43,48.47,47.93,41.78,37.9,6.65,372.2
2026-09-23T23:18:24,SIM-01,Wheat,21.82,74.77,45.98,43.97,41.31,37.43,6.67,363.6
2026-09-24T09:11:34,FARM-01,Wheat,21.8,76.43,48.47,47.93,41.78,37.9,6.65,372.2
2026-09-24T09:11:40,FARM-01,Wheat,21.82,74.77,45.98,43.97,41.31,37.43,6.67,363.6
2026-09-24T09:11:45,FARM-01,Wheat,20.99,76.54,47.71,47.49,39.49,38.54,6.57,348.1
2026-09-24T09:11:49,SIM-01,Wheat,21.8,76.43,48.47,47.93,41.78,37.9,6.65,372.2
2026-09-24T09:11:57,SIM-HEALTHY,Wheat,22.42,78.04,48.3,47.94,41.69,40.13,6.13,370.0
2026-09-24T09:11:57,SIM-STRESS,Wheat,23.29,79.28,48.65,46.91,41.24,38.89,4.9,353.6
2026-09-24T22:07:18,SIM-01,Wheat,21.8,76.43,48.47,47.93,41.78,37.9,6.65,372.2
2026-09-24T22:45:52,SIM-HEALTHY,Wheat,22.42,78.04,48.3,47.94,41.69,40.13,6.13,370.0
2026-09-24T22:45:52,SIM-STRESS,Wheat,23.29,79.28,48.65,46.91,41.24,38.89,4.9,353.6
2026-09-24T22:45:59,SIM-01,Wheat,21.8,76.43,48.47,47.93,41.78,37.9,6.65,372.2
