filename,pepper bell bacterial spot,pepper bell healthy,potato early blight,potato healthy,potato late blight,tomato target spot
0b47ce18-7cfe-45e8-b21e-b83cb6282455___JR_B-Spot-3162_JPG.rf.98f7f8e9f1ae94d9041092d3e1261a81.jpg,1,0,0,0,0,0
1b7342d7-5d89-4ee3-8b4f-587d79187511___RS_LB-4416_JPG.rf.7ad3a060323a712eb6d4f95e629fd967.jpg,0,0,0,0,1,0
01a8cc9f-074a-4866-87c8-bb5a9e3895b4___RS_LB-2968_JPG.rf.bb9d05e617287fafc67f7bbe3c1a7be2.jpg,0,0,0,0,1,0
882798ca-67c3-45a3-86cf-4aed69388145___RS_HL-1750_JPG.rf.0933a9ce8130e1066b50cef219e09cb7.jpg,0,0,0,1,0,0
01dd93b0-0e34-447b-87ea-ccc9f2b62d03___JR_HL-8005_JPG.rf.532361d73a8086d7c7fde1dc51e6244c.jpg,0,1,0,0,0,0
0d9dbf50-53a9-42b2-8b29-0360fb7dbd98___RS_Early-B-6692_JPG.rf.887e0b55467d70a8dee31bb66c4f9f33.jpg,0,0,1,0,0,0
1cd053f6-0016-4680-a924-af15aecd7fb2___RS_LB-4414_JPG.rf.1cf5cce71c23a7b16def87707ff24f36.jpg,0,0,0,0,1,0
ad9b6cf4-e065-496d-91c7-5713ce14e19e___RS_HL-1926_JPG.rf.e40e17eda683a7a9a6c500dd3661bbe9.jpg,0,0,0,1,0,0
3c237d3f-7242-4009-a08a-b4eb7cd662fc___NREC_B-Spot-1969_JPG.rf.95a3d3c71a0228d8ebc3d7d4bf2d80e5.jpg,1,0,0,0,0,0
1d26f9c5-2f4e-4b1e-a7d6-a4e9584a3ab7___JR_B-Spot-8918_JPG.rf.d3ce8449d9c2ae262179fba684316085.jpg,1,0,0,0,0,0
142fb983-2166-4a0f-b99b-a6c21e99987e___RS_HL-5398_JPG.rf.37295f3f84a1e7f2f57a5fa329d765d5.jpg,0,0,0,1,0,0
0a0dbf1f-1131-496f-b337-169ec6693e6f___NREC_B-Spot-9241_JPG.rf.b03db4de7ccdc58e06d43d9ec62feb3e.jpg,1,0,0,0,0,0
a5050bde-febc-4931-b31d-45c9652df318___RS_HL-5373_JPG.rf.59f57820fca2e5d843534712ddc7dbef.jpg,0,0,0,1,0,0
2f9b46c7-fa77-4196-9ed1-f3f316182340___JR_B-Spot-8943_JPG.rf.cee9e7ac292dbd5d0143f78a032e6dcb.jpg,1,0,0,0,0,0
1b0cfb07-f452-49e0-85ad-45f3f519ca7a___JR_B-Spot-9094_JPG.rf.11ea2b576b64b6151db6f02cfb0544e7.jpg,1,0,0,0,0,0
2a42396f-f9a9-47cc-9dd7-7149faf1e0e2___JR_HL-8544_JPG.rf.c04f054743c897d192cd6b988552e428.jpg,0,1,0,0,0,0
0e1942a4-91d7-460a-8189-1a4e693cfc84___JR_HL-8896_JPG.rf.131221c1c5813dc994a0c2a0b723fefa.jpg,0,1,0,0,0,0
2bb75692-d488-406d-bce0-c7eab42557c5___NREC_B-Spot-1922_JPG.rf.48953bd96a19514abe0319d0a07c6005.jpg,1,0,0,0,0,0
07dfb451-4378-49d1-b699-33a5fc49ff07___RS_HL-5399_JPG.rf.4a2c599c60a63ad503676a7b5063deb5.jpg,0,0,0,1,0,0
0c2392f6-3e69-4baf-b9f3-197623f6631a___JR_B-Spot-3176_JPG.rf.3004ec3c725a51f377bfbc8719172828.jpg,1,0,0,0,0,0
0a8a68ee-f587-4dea-beec-79d02e7d3fa4___RS_Early-B-8461_JPG.rf.fa6658dfc284ef0258f7cf6b5a7e4b2a.jpg,0,0,1,0,0,0
1d35e088-7147-4bac-9cce-9330a3f5906d___NREC_B-Spot-9096_JPG.rf.68b2d7b6bd198f9586f044650afbf49c.jpg,1,0,0,0,0,0
43fd6ace-3712-494a-9aba-de5482d22561___RS_HL-1968_JPG.rf.69a1e612295c42193902723e92505087.jpg,0,0,0,1,0,0
2a5eb7c8-4c8b-43a6-9448-b3983beef06c___JR_HL-8248_JPG.rf.6b51e3461d064561b339ed089eb122bd.jpg,0,1,0,0,0,0
2b0eaba8-5c38-4eb2-8629-7b967cfd2b20___JR_HL-8062_JPG.rf.0cf3a7b67104f76f6ea20c21a167733b.jpg,0,1,0,0,0,0
1e1fde7a-c535-49fd-9670-629f7fb9cb3d___RS_LB-3949_JPG.rf.1d7d30526ba60b5f4993cd0199c851cd.jpg,0,0,0,0,1,0
1b73d0ec-bad1-4d2d-878e-6aa209aa39d2___JR_B-Spot-9086_JPG.rf.f41707bd16d91833b890293e56a99e24.jpg,1,0,0,0,0,0
7948ada9-eabc-4cb7-a579-b73e938eb716___RS_HL-4185_JPG.rf.31af89e8163077fcb772b7badf5cb9f2.jpg,0,0,0,1,0,0
0e2afa6e-568c-4694-babd-dc15057b53b3___JR_HL-8475_JPG.rf.842e97f3d96fbe9daefafd9af141f136.jpg,0,1,0,0,0,0
1a629a1c-1000-48ce-a7d8-2064aa7e24ae___JR_HL-6001_JPG.rf.a3fbb9ad8aa4c3dc9cc1f9fb491af08b.jpg,0,1,0,0,0,0
1daf2391-f049-4e01-b229-ffd7c00a1b73___JR_HL-8119_JPG.rf.796f37799b5cd5746dbf5517a2f0e0bf.jpg,0,1,0,0,0,0
2becae93-578d-44c6-8e74-056e59d15c8e___JR_B-Spot-3396_JPG.rf.cda5f707ba054e57c24fa0c2299f97c2.jpg,1,0,0,0,0,0
2d7488fa-f033-4c1c-bc1f-b70f86406127___NREC_B-Spot-1800_JPG.rf.1b31e3d67ce2ed6e686fb7e3d04e0422.jpg,1,0,0,0,0,0
0dd09705-5593-4d01-9a9b-c1d5857daf92___JR_HL-8212_JPG.rf.52f227b672286f64ed0545964938cbed.jpg,0,1,0,0,0,0
0f4823db-878f-4d55-8d0f-ef011243dfda___JR_HL-8436_JPG.rf.fc8527f196917cab27e1d95ecc719ab6.jpg,0,1,0,0,0,0
00fc2ee5-729f-4757-8aeb-65c3355874f2___RS_HL-1864_JPG.rf.8679c3803bb246ad80521c1742031004.jpg,0,0,0,1,0,0
61b05f0a-14bc-4c8f-a256-57c8b8898d8c___RS_HL-1769_JPG.rf.85acaa3e6eb4f44ff2e045658837eb5a.jpg,0,0,0,1,0,0
1fdbead6-97f6-4712-8c5e-2a1285e1e777___JR_HL-8681_JPG.rf.294c2978575413b8d86894e431674714.jpg,0,1,0,0,0,0
03da9931-e514-4cc7-b04a-8f474a133ce5___RS_HL-1830_JPG.rf.51e9dcff4988c218fee5d2198455ec7f.jpg,0,0,0,1,0,0
1e9de601-8ffb-42cd-b7ab-79b35f87acfc___JR_HL-8732_JPG.rf.1eeeaa4eb555b76f9e8d3cf80c523bd3.jpg,0,1,0,0,0,0
1daae61a-7014-4efe-b855-018999a5be9b___RS_Early-B-6852_JPG.rf.dad612097060d866f49881660a5cba29.jpg,0,0,1,0,0,0
0ac9e61f-8dda-4628-bbf9-4fd81012b7a3___Com-G_TgS_FL-8245_JPG.rf.740eba5c40524b2d0063992f05290668.jpg,0,0,0,0,0,1
0bd0f439-013b-40ed-a6d1-4e67e971d437___JR_B-Spot-3272_JPG.rf.45c451e10ae68b99dfa26e98829869e2.jpg,1,0,0,0,0,0
1f560f09-0b70-40c9-b907-4cac9ba47b8d___RS_LB-3184_JPG.rf.f753b05b4fe1b30c118e1333225c875c.jpg,0,0,0,0,1,0
3dcf00d5-a9c0-4920-8767-2355f3f85bc4___NREC_B-Spot-9218_JPG.rf.5dbc6eaca1644f7cdc2ee8179952d3e2.jpg,1,0,0,0,0,0
3da16030-36bd-4866-826f-70945a9f8b60___JR_B-Spot-8934_JPG.rf.4d7f70a9464656a1af4d1cbef73fad03.jpg,1,0,0,0,0,0
413bc2e9-eb2a-48fd-ba65-48b5121fd85c___RS_HL-4200_JPG.rf.f8a56d6090b8f45e8d201d8909ceacca.jpg,0,0,0,1,0,0
1c4e0445-375a-4c5d-b6fd-6123d22f009f___RS_Early-B-7972_JPG.rf.830e7da9dba5f1c35968757975d18b2b.jpg,0,0,1,0,0,0
00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early-B-8722_JPG.rf.35527ccbd7c42722efd4ffcd409a8579.jpg,0,0,1,0,0,0
046641c1-f837-49eb-b5f2-4109910a027c___RS_HL-1878_JPG.rf.f453883fc9372debb3b8903d29cb7968.jpg,0,0,0,1,0,0
1cffe6a1-6fb3-4506-846c-478148a2b678___RS_LB-4380_JPG.rf.d8723cc06453c30214c2ba7f43426013.jpg,0,0,0,0,1,0
61b8a692-91d8-40f5-a4a4-4d910875a638___RS_HL-1966_JPG.rf.9dcca32a2dd65f94c7fb339da2176986.jpg,0,0,0,1,0,0
0a3f2927-4410-46a3-bfda-5f4769a5aaf8___JR_HL-8275_JPG.rf.6775e45cc302fd8d0e1c818cd938e983.jpg,0,1,0,0,0,0
0f4ebc5a-d646-436a-919d-961342997cde___RS_HL-4183_JPG.rf.1f181606cb561751b9093b4f6e87a86d.jpg,0,0,0,1,0,0
1be321d5-d2cc-4945-b2f3-a36c41160838___JR_HL-7596_JPG.rf.9ac7968fd2ad0235b5806e99fd3aa4f3.jpg,0,1,0,0,0,0
7e6c8297-dfe1-4826-826e-01d696cc263b___RS_HL-1863_JPG.rf.702e87132f660b8b011aeb86d7a1b6c9.jpg,0,0,0,1,0,0
45bc0b37-ca59-4a89-8531-705af42a6fd5___RS_HL-1946_JPG.rf.9c11e499930f0d6fe953c5f4c8065426.jpg,0,0,0,1,0,0
3ecf6ae1-56d9-47c0-bedb-af7954dbc3c6___JR_B-Spot-8953_JPG.rf.a863bb08adf5724445bc984927a389ef.jpg,1,0,0,0,0,0
0ede4acd-3685-40d9-b52b-7b3cb6536fa8___RS_Early-B-7377_JPG.rf.2c3999ba6bd4c27ff636f5f57a7e44d9.jpg,0,0,1,0,0,0
533abd3a-3e1d-42d0-ae9c-5189282b78af___RS_HL-5369_JPG.rf.188dc9c228b59c154d050763167bdade.jpg,0,0,0,1,0,0
2c8e565d-14be-4cbe-8873-2aa25a86b98c___JR_B-Spot-8903_JPG.rf.ea0839b061513c029ee183e04b23495a.jpg,1,0,0,0,0,0
2a510a2e-0e15-4ee3-9a66-a7bc27710c91___JR_HL-7704_JPG.rf.9110d37eb453719aedc503423021eb83.jpg,0,1,0,0,0,0
38faf81d-c83b-42ca-b4c3-e3bbfa070589___RS_HL-1805_JPG.rf.58ea20fa63759e3e46746c8650595200.jpg,0,0,0,1,0,0
a3ec91aa-8503-4711-a912-0d1427e25686___RS_HL-5409_JPG.rf.8a9b2083b1fd10a35e1b07e94abc62c7.jpg,0,0,0,1,0,0
1b8f80ae-38a2-4d08-ae92-f80ff4459a73___RS_LB-2554_JPG.rf.c8bff8932dfd77c0535cb2b56003d68b.jpg,0,0,0,0,1,0
3af826c4-e8d8-472f-b4cf-d1a34bc2cd35___NREC_B-Spot-9051_JPG.rf.f0c244b4a50cb0287b394d19bea6fa4e.jpg,1,0,0,0,0,0
7e7b6ab4-9adb-4a3b-abfb-8716b0039879___RS_HL-1921_JPG.rf.40ebda39d84a7d0d60009d4e21578304.jpg,0,0,0,1,0,0
0c2bd887-092f-410d-ac56-9b96110665c8___Com-G_TgS_FL-8285_JPG.rf.e423a1b608ca62e53d7a5b169c09055b.jpg,0,0,0,0,0,1
1c159479-4972-41d3-a6ff-fbdb648d72c2___JR_HL-7575_JPG.rf.c43d5103c1635bbba3662877a7aa8b05.jpg,0,1,0,0,0,0
3d87a319-d032-4bac-9b6c-0160a23531b9___NREC_B-Spot-1853_JPG.rf.364c1860a339b1b1cf7bc27f69073979.jpg,1,0,0,0,0,0
799b10e8-ba67-4e08-9abe-748789572ad1___RS_HL-1881_JPG.rf.7fe99ab182955cce4beb4ef774640aaf.jpg,0,0,0,1,0,0
0a2de4c5-d688-4f9d-9107-ace1d281c307___Com-G_TgS_FL-7941_JPG.rf.15e5069afb157762ec1013fc05f123f2.jpg,0,0,0,0,0,1
0a0744dc-8486-4fbb-a44b-4d63e6db6197___RS_Early-B-7575_JPG.rf.e46e9ba958c01eac3b6c267621dd6441.jpg,0,0,1,0,0,0
0de13a24-e542-45a2-be5a-8db7d8d858db___JR_HL-5982_JPG.rf.d21466ff9c5024467e13e40ec1da96b4.jpg,0,1,0,0,0,0
2d53efe9-0845-4091-97b5-9ca7001e04c9___JR_HL-7758_JPG.rf.5c1f0ebe9c0c135bfb6276b1a34257f6.jpg,0,1,0,0,0,0
1d46d97c-17ae-41e2-9ac3-6a984804760e___JR_B-Spot-8825_JPG.rf.24162a39e6e2083d4c8161d5e1c35cae.jpg,1,0,0,0,0,0
1bf8d046-2b1c-44bf-9a00-9f16e0971d2a___JR_HL-8281_JPG.rf.a9e0bf16bb5fade8a6b8b59f8a502ab9.jpg,0,1,0,0,0,0
0f50da52-cb4a-4391-982a-d6cf9c9d9917___RS_LB-2581_JPG.rf.7d0578a9e1d43f4015ffcd787d95f2b0.jpg,0,0,0,0,1,0
2c8d77dd-0173-41d0-9e95-9e11092af9a8___JR_HL-8737_JPG.rf.f8bdf2fcdd7461aa4e33ce570e1e73b9.jpg,0,1,0,0,0,0
1106c3fc-92cb-41a6-a6c6-8f08b9b45108___RS_HL-1914_JPG.rf.ae45a5d31df075950746a67b54e5db0d.jpg,0,0,0,1,0,0
0ed45bc2-c8cc-4d65-8f53-bdc10d78a7dc___RS_Early-B-8504_JPG.rf.23c60e04f59fa0e665e56b5840a663ec.jpg,0,0,1,0,0,0
00b1f292-23dd-44d4-aad3-c1ffb6a6ad5a___RS_LB-4479_JPG.rf.c716814e968328696129ed9d9f2bd509.jpg,0,0,0,0,1,0
1e6e9501-4510-4950-abea-36882683aa5c___JR_HL-8435_JPG.rf.11138d52342eccb7a131b8a2aa35b430.jpg,0,1,0,0,0,0
1a1af0c4-9e4a-4158-b982-f81d487a3b68___NREC_B-Spot-9148_JPG.rf.6883f666ebc6dafab5f3bdb92aa73697.jpg,1,0,0,0,0,0
1ff86a73-9f36-45c5-8012-c5d90445b7ac___RS_Early-B-8563_JPG.rf.c6388dc21f30a18f53874202668f8fb7.jpg,0,0,1,0,0,0
1a1a389d-f186-4481-8a5c-b8c6f864ad7f___JR_HL-8649_JPG.rf.dc3b99be6a1f26e2857e5c7eb38b47c7.jpg,0,1,0,0,0,0
0d9b55df-a8c0-4784-b1e4-957c8d679513___NREC_B-Spot-1825_JPG.rf.107e4a3803bf7c69f8ba7af99da18c7d.jpg,1,0,0,0,0,0
2bf8e05e-8a65-4cf7-8171-3013044c1e9c___JR_HL-8209_JPG.rf.f154b4cb863f15d3604d01df021e0513.jpg,0,1,0,0,0,0
1a6fc494-81dd-4649-ad8d-a5a6e58a2aa7___RS_LB-2618_JPG.rf.02bde371becac8f5df48c7c7a541aec3.jpg,0,0,0,0,1,0
8b2ce6b6-f00a-4f25-ac6d-4249dd7dc5f6___RS_HL-1890_JPG.rf.ddfa39d614bc1bd577152271db3c1858.jpg,0,0,0,1,0,0
0bb97c36-159d-4ee2-8b06-1fbf3f533af5___JR_HL-8345_JPG.rf.418e8e7dd4fc139ab97a517a61bec243.jpg,0,1,0,0,0,0
