Temperature,Humidity,Moisture,Nitrogen,Phosphorus,Potassium,PH,Light_Intensity,Yield_Rate,Target_Disease
14.8,88.48,50.92,31.39,49.01,22.24,6.53,371.4,53.57,Rust
21.71,87.23,50.85,15.57,33.07,19.1,7.2,285.1,47.05,Powdery_Mildew
21.38,91.84,59.56,20.24,27.61,11.35,7.38,601.9,43.86,Healthy
32.18,80.45,12.74,14.42,42.04,16.22,7.14,732.7,44.7,Early_Blight
38.62,26.99,51.45,17.06,10.18,35.74,5.33,930.9,38.36,Root_Rot
24.09,82.99,53.47,23.05,33.28,43.61,6.84,648.5,44.12,Early_Blight
22.79,91.98,33.07,27.95,35.19,23.49,6.5,221.8,42.1,Powdery_Mildew
26.84,66.45,8.51,24.92,36.48,45.79,6.83,559.0,42.26,Early_Blight
34.3,46.86,29.04,17.71,23.45,49.21,5.67,468.3,34.31,Healthy
19.64,60.68,18.57,45.31,30.69,19.23,6.01,926.1,42.09,Healthy
16.4,80.92,48.94,47.2,44.77,12.07,6.05,346.6,45.77,Rust
38.8,84.4,52.27,39.56,35.07,21.21,7.84,865.0,53.0,Bacterial_Leaf_Spot
32.63,77.94,42.41,39.02,44.18,41.96,6.32,331.9,48.59,Healthy
21.77,86.47,54.29,13.89,12.05,38.26,6.6,824.5,45.92,Rust
22.4,89.21,23.45,26.25,26.28,13.51,7.53,227.8,37.28,Powdery_Mildew
22.37,92.1,62.22,12.6,46.39,47.6,7.51,713.2,51.6,Rust
35.7,54.02,14.04,23.5,23.8,24.29,7.67,603.6,31.73,Healthy
32.94,82.09,55.06,44.92,45.07,27.03,7.39,477.4,50.95,Bacterial_Leaf_Spot
20.81,82.94,43.92,22.2,40.86,35.13,7.59,259.9,46.61,Powdery_Mildew
14.57,65.05,18.62,29.01,48.75,24.62,4.81,413.8,36.19,Healthy
23.15,82.59,47.9,45.66,48.67,15.09,8.07,289.5,53.73,Powdery_Mildew
41.77,85.84,62.97,14.83,43.27,26.35,6.84,880.6,53.19,Early_Blight
22.26,91.8,46.92,38.91,26.34,29.96,6.19,278.3,38.35,Powdery_Mildew
22.25,28.86,44.9,37.89,18.04,15.5,5.41,548.0,33.31,Healthy
35.8,82.09,61.83,34.88,48.48,25.09,5.26,770.3,51.47,Root_Rot
21.39,92.26,55.92,37.77,36.11,22.5,7.38,674.5,54.15,Rust
31.6,57.8,61.14,16.95,11.32,25.44,5.27,783.2,40.95,Root_Rot
23.77,81.0,55.76,46.48,47.31,15.74,5.01,726.7,47.94,Root_Rot
30.06,73.19,40.58,22.89,13.94,33.33,5.38,383.0,42.36,Early_Blight
23.57,46.01,60.6,36.05,32.68,45.74,5.26,879.2,50.66,Root_Rot
20.09,91.9,56.7,47.12,44.05,15.07,7.65,669.2,49.55,Rust
21.89,91.84,49.4,19.33,34.27,19.94,7.39,750.1,47.69,Healthy
36.9,78.91,37.85,20.84,23.02,19.02,7.91,749.3,43.35,Early_Blight
38.27,86.29,60.65,41.08,25.68,11.96,5.25,355.2,35.39,Root_Rot
26.41,86.67,64.67,15.32,13.02,18.6,6.3,959.4,44.16,Early_Blight
14.27,75.98,60.01,27.01,49.09,16.97,7.17,770.6,52.31,Healthy
22.99,92.1,51.94,17.74,23.89,26.47,7.76,610.0,50.58,Rust
21.25,88.24,49.47,36.39,33.45,13.18,7.89,958.2,53.72,Rust
32.97,89.73,23.32,48.42,31.45,39.35,7.87,537.0,52.86,Bacterial_Leaf_Spot
25.29,83.42,48.71,26.03,24.09,12.28,4.86,438.2,33.61,Early_Blight
34.98,93.17,12.75,41.92,20.85,28.69,7.88,257.0,37.42,Bacterial_Leaf_Spot
32.84,65.95,43.04,34.23,27.01,46.25,6.36,691.1,42.23,Early_Blight
22.03,92.75,20.07,46.11,29.94,34.12,7.49,328.8,41.75,Powdery_Mildew
25.31,88.94,26.09,47.32,34.35,31.01,7.71,916.7,51.29,Bacterial_Leaf_Spot
33.13,86.64,27.25,44.66,30.04,22.29,7.61,302.4,34.28,Bacterial_Leaf_Spot
34.48,51.4,49.58,29.74,38.94,33.99,7.2,219.4,46.1,Healthy
20.32,77.48,20.25,36.98,37.57,32.66,6.43,571.2,43.84,Healthy
13.8,60.34,9.96,14.64,35.44,20.99,8.14,218.3,36.59,Healthy
32.38,76.93,51.34,33.53,29.2,36.05,5.17,890.3,46.94,Root_Rot
24.66,91.28,58.72,44.01,23.35,30.42,5.86,390.1,37.78,Healthy
25.45,85.24,44.82,34.27,44.17,30.19,6.6,930.6,47.3,Early_Blight
27.92,57.11,22.93,27.97,41.93,44.51,6.37,460.8,37.35,Healthy
23.8,54.97,37.79,40.8,48.87,31.0,6.33,245.6,40.96,Healthy
14.86,41.77,51.34,23.16,11.57,24.51,5.49,433.4,38.2,Root_Rot
26.17,84.49,60.14,46.69,14.43,15.27,7.94,724.0,48.96,Bacterial_Leaf_Spot
21.17,91.44,54.49,45.86,35.12,43.32,7.04,824.0,52.72,Rust
40.98,91.24,48.98,31.94,47.24,49.27,5.7,505.3,46.9,Early_Blight
35.15,74.51,9.78,27.97,29.52,12.19,4.9,514.9,27.6,Early_Blight
40.72,65.69,55.52,20.78,12.31,27.93,5.12,898.5,44.81,Root_Rot
23.89,92.13,36.37,19.81,28.4,14.62,6.72,234.8,36.82,Powdery_Mildew
34.83,30.9,43.36,26.42,17.79,45.37,6.36,887.0,40.95,Healthy
22.99,83.35,50.64,43.08,34.82,46.73,6.39,267.8,48.56,Powdery_Mildew
23.04,62.64,42.37,45.59,47.21,36.92,7.24,510.4,45.58,Healthy
13.05,37.27,50.26,47.9,17.03,17.49,5.35,236.7,36.25,Root_Rot
31.6,81.99,25.12,28.19,49.03,40.7,6.05,934.9,46.7,Early_Blight
30.96,63.33,57.25,13.82,16.67,21.26,5.06,804.8,39.59,Root_Rot
31.34,53.01,40.42,29.85,46.58,18.27,6.74,250.4,40.21,Healthy
18.84,54.47,54.46,28.1,30.27,44.77,6.17,537.6,36.94,Healthy
25.32,85.45,57.94,24.1,31.56,14.28,7.51,349.5,42.89,Powdery_Mildew
